sample,DF1,DF2,TDF2,CASCADE
260,0.0001882773,0.0001882773,0.0001882773,0.0001882773
261,-0.0000306404,-0.0000306404,-0.0000306404,-0.0000306404
262,-0.0002417066,-0.0002417066,-0.0002417066,-0.0002417066
263,-0.0004307950,-0.0004307950,-0.0004307950,-0.0004307950
264,-0.0005856439,-0.0005856439,-0.0005856439,-0.0005856439
265,-0.0006966402,-0.0006966402,-0.0006966402,-0.0006966402
266,-0.0007574022,-0.0007574022,-0.0007574022,-0.0007574022
267,-0.0007651276,-0.0007651276,-0.0007651276,-0.0007651276
268,-0.0007206898,-0.0007206898,-0.0007206898,-0.0007206898
269,-0.0006284817,-0.0006284817,-0.0006284817,-0.0006284817
270,-0.0004960243,-0.0004960243,-0.0004960243,-0.0004960243
271,-0.0003333736,-0.0003333736,-0.0003333736,-0.0003333736
272,-0.0001523710,-0.0001523710,-0.0001523710,-0.0001523710
273,0.0000342077,0.0000342077,0.0000342077,0.0000342077
274,0.0002135453,0.0002135453,0.0002135453,0.0002135453
275,0.0003736538,0.0003736538,0.0003736538,0.0003736538
276,0.0005041672,0.0005041672,0.0005041672,0.0005041672
277,0.0005970025,0.0005970025,0.0005970025,0.0005970025
278,0.0006468485,0.0006468485,0.0006468485,0.0006468485
279,0.0006514534,0.0006514534,0.0006514534,0.0006514534
280,0.0006116969,0.0006116969,0.0006116969,0.0006116969
281,0.0005314483,0.0005314483,0.0005314483,0.0005314483
282,0.0004172247,0.0004172247,0.0004172247,0.0004172247
283,0.0002776784,0.0002776784,0.0002776784,0.0002776784
284,0.0001229535,0.0001229535,0.0001229535,0.0001229535
285,-0.0000360426,-0.0000360426,-0.0000360426,-0.0000360426
286,-0.0001884000,-0.0001884000,-0.0001884000,-0.0001884000
287,-0.0003239471,-0.0003239471,-0.0003239471,-0.0003239471
288,-0.0004339221,-0.0004339221,-0.0004339221,-0.0004339221
289,-0.0005115307,-0.0005115307,-0.0005115307,-0.0005115307
290,-0.0005523557,-0.0005523557,-0.0005523557,-0.0005523557
291,-0.0005545943,-0.0005545943,-0.0005545943,-0.0005545943
292,-0.0005191117,-0.0005191117,-0.0005191117,-0.0005191117
293,-0.0004493117,-0.0004493117,-0.0004493117,-0.0004493117
294,-0.0003508391,-0.0003508391,-0.0003508391,-0.0003508391
295,-0.0002311368,-0.0002311368,-0.0002311368,-0.0002311368
296,-0.0000988935,-0.0000988935,-0.0000988935,-0.0000988935
297,0.0000365798,0.0000365798,0.0000365798,0.0000365798
298,0.0001659979,0.0001659979,0.0001659979,0.0001659979
299,0.0002807316,0.0002807316,0.0002807316,0.0002807316
300,0.0003733767,0.0003733767,0.0003733767,0.0003733767
301,0.0004382238,0.0004382238,0.0004382238,0.0004382238
302,0.0004716020,0.0004716020,0.0004716020,0.0004716020
303,0.0004720740,0.0004720740,0.0004720740,0.0004720740
304,0.0004404752,0.0004404752,0.0004404752,0.0004404752
305,0.0003797969,0.0003797969,0.0003797969,0.0003797969
306,0.0002949262,0.0002949262,0.0002949262,0.0002949262
307,0.0001922644,0.0001922644,0.0001922644,0.0001922644
308,0.0000792521,0.0000792521,0.0000792521,0.0000792521
309,-0.0000361632,-0.0000361632,-0.0000361632,-0.0000361632
310,-0.0001460803,-0.0001460803,-0.0001460803,-0.0001460803
311,-0.0002431798,-0.0002431798,-0.0002431798,-0.0002431798
312,-0.0003212055,-0.0003212055,-0.0003212055,-0.0003212055
313,-0.0003753616,-0.0003753616,-0.0003753616,-0.0003753616
314,-0.0004025994,-0.0004025994,-0.0004025994,-0.0004025994
315,-0.0004017789,-0.0004017789,-0.0004017789,-0.0004017789
316,-0.0003736954,-0.0003736954,-0.0003736954,-0.0003736954
317,-0.0003209747,-0.0003209747,-0.0003209747,-0.0003209747
318,-0.0002478464,-0.0002478464,-0.0002478464,-0.0002478464
319,-0.0001598147,-0.0001598147,-0.0001598147,-0.0001598147
320,-0.0000632504,-0.0000632504,-0.0000632504,-0.0000632504
321,0.0000350637,0.0000350637,0.0000350637,0.0000350637
322,0.0001284051,0.0001284051,0.0001284051,0.0001284051
323,0.0002105661,0.0002105661,0.0002105661,0.0002105661
324,0.0002762620,0.0002762620,0.0002762620,0.0002762620
325,0.0003214652,0.0003214652,0.0003214652,0.0003214652
326,0.0003436463,0.0003436463,0.0003436463,0.0003436463
327,0.0003419059,0.0003419059,0.0003419059,0.0003419059
328,0.0003169927,0.0003169927,0.0003169927,0.0003169927
329,0.0002712093,0.0002712093,0.0002712093,0.0002712093
330,0.0002082151,0.0002082151,0.0002082151,0.0002082151
331,0.0001327415,0.0001327415,0.0001327415,0.0001327415
332,0.0000502430,0.0000502430,0.0000502430,0.0000502430
333,-0.0000334928,-0.0000334928,-0.0000334928,-0.0000334928
334,-0.0001127469,-0.0001127469,-0.0001127469,-0.0001127469
335,-0.0001822552,-0.0001822552,-0.0001822552,-0.0001822552
336,-0.0002375545,-0.0002375545,-0.0002375545,-0.0002375545
337,-0.0002752639,-0.0002752639,-0.0002752639,-0.0002752639
338,-0.0002932861,-0.0002932861,-0.0002932861,-0.0002932861
339,-0.0002909164,-0.0002909164,-0.0002909164,-0.0002909164
340,-0.0002688532,-0.0002688532,-0.0002688532,-0.0002688532
341,-0.0002291138,-0.0002291138,-0.0002291138,-0.0002291138
342,-0.0001748629,-0.0001748629,-0.0001748629,-0.0001748629
343,-0.0001101672,-0.0001101672,-0.0001101672,-0.0001101672
344,-0.0000396955,-0.0000396955,-0.0000396955,-0.0000396955
345,0.0000316144,0.0000316144,0.0000316144,0.0000316144
346,0.0000988976,0.0000988976,0.0000988976,0.0000988976
347,0.0001576911,0.0001576911,0.0001576911,0.0001576911
348,0.0002042261,0.0002042261,0.0002042261,0.0002042261
349,0.0002356656,0.0002356656,0.0002356656,0.0002356656
350,0.0002502723,0.0002502723,0.0002502723,0.0002502723
351,0.0002474982,0.0002474982,0.0002474982,0.0002474982
352,0.0002279896,0.0002279896,0.0002279896,0.0002279896
353,0.0001935127,0.0001935127,0.0001935127,0.0001935127
354,0.0001468032,0.0001468032,0.0001468032,0.0001468032
355,0.0000913555,0.0000913555,0.0000913555,0.0000913555
356,0.0000311656,0.0000311656,0.0000311656,0.0000311656
357,-0.0000295542,-0.0000295542,-0.0000295542,-0.0000295542
358,-0.0000866664,-0.0000866664,-0.0000866664,-0.0000866664
359,-0.0001363877,-0.0001363877,-0.0001363877,-0.0001363877
360,-0.0001755363,-0.0001755363,-0.0001755363,-0.0001755363
361,-0.0002017323,-0.0002017323,-0.0002017323,-0.0002017323
362,-0.0002135383,-0.0002135383,-0.0002135383,-0.0002135383
363,-0.0002105318,-0.0002105318,-0.0002105318,-0.0002105318
364,-0.0001933074,-0.0001933074,-0.0001933074,-0.0001933074
365,-0.0001634096,-0.0001634096,-0.0001634096,-0.0001634096
366,-0.0001232028,-0.0001232028,-0.0001232028,-0.0001232028
367,-0.0000756892,-0.0000756892,-0.0000756892,-0.0000756892
368,-0.0000242881,-0.0000242881,-0.0000242881,-0.0000242881
369,0.0000274075,0.0000274075,0.0000274075,0.0000274075
370,0.0000758792,0.0000758792,0.0000758792,0.0000758792
371,0.0001179203,0.0001179203,0.0001179203,0.0001179203
372,0.0001508453,0.0001508453,0.0001508453,0.0001508453
373,0.0001726585,0.0001726585,0.0001726585,0.0001726585
374,0.0001821716,0.0001821716,0.0001821716,0.0001821716
375,0.0001790627,0.0001790627,0.0001790627,0.0001790627
376,0.0001638756,0.0001638756,0.0001638756,0.0001638756
377,0.0001379602,0.0001379602,0.0001379602,0.0001379602
378,0.0001033591,0.0001033591,0.0001033591,0.0001033591
379,0.0000626510,0.0000626510,0.0000626510,0.0000626510
380,0.0000187614,0.0000187614,0.0000187614,0.0000187614
381,-0.0000252454,-0.0000252454,-0.0000252454,-0.0000252454
382,-0.0000663778,-0.0000663778,-0.0000663778,-0.0000663778
383,-0.0001019183,-0.0001019183,-0.0001019183,-0.0001019183
384,-0.0001296007,-0.0001296007,-0.0001296007,-0.0001296007
385,-0.0001477522,-0.0001477522,-0.0001477522,-0.0001477522
386,-0.0001553915,-0.0001553915,-0.0001553915,-0.0001553915
387,-0.0001522769,-0.0001522769,-0.0001522769,-0.0001522769
388,-0.0001389033,-0.0001389033,-0.0001389033,-0.0001389033
389,-0.0001164493,-0.0001164493,-0.0001164493,-0.0001164493
390,-0.0000866792,-0.0000866792,-0.0000866792,-0.0000866792
391,-0.0000518075,-0.0000518075,-0.0000518075,-0.0000518075
392,-0.0000143368,-0.0000143368,-0.0000143368,-0.0000143368
393,0.0000231198,0.0000231198,0.0000231198,0.0000231198
394,0.0000580190,0.0000580190,0.0000580190,0.0000580190
395,0.0000880582,0.0000880582,0.0000880582,0.0000880582
