sample,DF1,DF2,TDF2,CASCADE
147,-0.0037609935,0.1574413180,-0.0037609935,-0.0037938952
148,-0.0036570430,0.1569023728,-0.0036570430,-0.0036854148
149,-0.0033046603,0.1572193503,-0.0033046603,-0.0033292770
150,-0.0027343035,0.1569888592,-0.0027343035,-0.0027565956
151,-0.0019904971,0.1568101048,-0.0019904971,-0.0020117760
152,-0.0011283159,0.1572358608,-0.0011283159,-0.0011500120
153,-0.0002093911,0.1569853425,-0.0002093911,-0.0002328157
154,0.0007023811,0.1571674347,0.0007023811,0.0006759763
155,0.0015452504,0.1573084593,0.0015452504,0.0015149117
156,0.0022637844,0.1569724679,0.0022637844,0.0022288561
157,0.0028124452,0.1571701169,0.0028124452,0.0027726889
158,0.0031584501,0.1570264101,0.0031584501,0.0031138659
159,0.0032836795,0.1569150090,0.0032836795,0.0032344460
160,0.0031855106,0.1571804285,0.0031855106,0.0031324625
161,0.0028765202,0.1570243239,0.0028765202,0.0028202534
162,0.0023832321,0.1571378112,0.0023832321,0.0023247004
163,0.0017439723,0.1572257876,0.0017439723,0.0016845465
164,0.0010060072,0.1570162177,0.0010060072,0.0009466410
165,0.0002221465,0.1571394205,0.0002221465,0.0001640916
166,-0.0005530715,0.1570498943,-0.0005530715,-0.0006090999
167,-0.0012671351,0.1569803953,-0.0012671351,-0.0013204813
168,-0.0018730760,0.1571459174,-0.0018730760,-0.0019234419
169,-0.0023325682,0.1570485234,-0.0023325682,-0.0023798943
170,-0.0026181936,0.1571192741,-0.0026181936,-0.0026627779
171,-0.0027150512,0.1571741700,-0.0027150512,-0.0027573109
172,-0.0026214123,0.1570435166,-0.0026214123,-0.0026620626
173,-0.0023485422,0.1571203470,-0.0023485422,-0.0023885965
174,-0.0019196272,0.1570644975,-0.0019196272,-0.0019601583
175,-0.0013678670,0.1570211649,-0.0013678670,-0.0014098883
176,-0.0007339120,0.1571243405,-0.0007339120,-0.0007783175
177,-0.0000629425,0.1570636034,-0.0000629425,-0.0001106262
178,0.0005984902,0.1571077704,0.0005984902,0.0005469918
179,0.0012056828,0.1571419835,0.0012056828,0.0011501908
180,0.0017188191,0.1570604444,0.0017188191,0.0016592741
181,0.0021055341,0.1571083665,0.0021055341,0.0020422935
182,0.0023428798,0.1570735574,0.0023428798,0.0022765994
183,0.0024186373,0.1570464969,0.0024186373,0.0023500323
184,0.0023318529,0.1571109891,0.0023318529,0.0022619963
185,0.0020925999,0.1570730209,0.0020925999,0.0020226240
186,0.0017210245,0.1571005583,0.0017210245,0.0016521811
187,0.0012457967,0.1571219563,0.0012457967,0.0011793375
188,0.0007018447,0.1570711136,0.0007018447,0.0006388426
