filter_name,type,structure,cutoff,order,time_seconds
cheby2,q12,CASCADE,2000,2,0.753000
cheby2,q24,CASCADE,5000,2,0.581000
cheby2,q12,CASCADE,5000,2,0.749000
cheby2,q24,CASCADE,1000,4,1.111000
cheby2,q12,CASCADE,1000,4,1.462000
cheby2,q24,CASCADE,2000,4,1.103000
cheby2,q12,CASCADE,2000,4,1.491000
cheby2,q24,CASCADE,5000,4,1.100000
cheby2,q12,CASCADE,5000,4,1.469000
cheby2,q24,CASCADE,1000,6,1.652000
cheby2,q12,CASCADE,1000,6,2.210000
cheby2,q24,CASCADE,2000,6,1.635000
cheby2,q12,CASCADE,2000,6,2.187000
cheby2,q24,CASCADE,5000,6,1.622000
cheby2,q12,CASCADE,5000,6,2.146000
cheby2,q24,CASCADE,1000,8,2.166000
cheby2,q12,CASCADE,1000,8,2.934000
cheby2,q24,CASCADE,2000,8,2.147000
cheby2,q12,CASCADE,2000,8,2.883000
cheby2,q24,CASCADE,5000,8,2.158000
cheby2,q12,CASCADE,5000,8,2.837000
ellip,q24,CASCADE,1000,2,0.584000
ellip,q12,CASCADE,1000,2,0.763000
ellip,q24,CASCADE,2000,2,0.586000
ellip,q12,CASCADE,2000,2,0.730000
ellip,q24,CASCADE,5000,2,0.587000
ellip,q12,CASCADE,5000,2,0.752000
ellip,q24,CASCADE,1000,4,1.102000
ellip,q12,CASCADE,1000,4,1.480000
ellip,q24,CASCADE,2000,4,1.102000
ellip,q12,CASCADE,2000,4,1.449000
ellip,q24,CASCADE,5000,4,1.106000
ellip,q12,CASCADE,5000,4,1.451000
ellip,q24,CASCADE,1000,6,1.635000
ellip,q12,CASCADE,1000,6,2.175000
ellip,q24,CASCADE,2000,6,1.623000
ellip,q12,CASCADE,2000,6,2.163000
ellip,q24,CASCADE,5000,6,1.621000
ellip,q12,CASCADE,5000,6,2.169000
ellip,q24,CASCADE,1000,8,2.189000
ellip,q12,CASCADE,1000,8,2.875000
ellip,q24,CASCADE,2000,8,2.148000
ellip,q12,CASCADE,2000,8,2.861000
ellip,q24,CASCADE,5000,8,2.140000
ellip,q12,CASCADE,5000,8,2.867000
bessel,q24,CASCADE,1000,2,0.582000
bessel,q12,CASCADE,1000,2,0.750000
bessel,q24,CASCADE,2000,2,0.584000
bessel,q12,CASCADE,2000,2,0.725000
bessel,q24,CASCADE,5000,2,0.582000
bessel,q12,CASCADE,5000,2,0.750000
bessel,q24,CASCADE,1000,4,1.103000
bessel,q12,CASCADE,1000,4,1.451000
bessel,q24,CASCADE,2000,4,1.102000
bessel,q12,CASCADE,2000,4,1.425000
bessel,q24,CASCADE,5000,4,1.125000
bessel,q12,CASCADE,5000,4,1.454000
bessel,q24,CASCADE,1000,6,1.623000
bessel,q12,CASCADE,1000,6,2.159000
bessel,q24,CASCADE,2000,6,1.622000
bessel,q12,CASCADE,2000,6,2.129000
bessel,q24,CASCADE,5000,6,1.623000
bessel,q12,CASCADE,5000,6,2.150000
bessel,q24,CASCADE,1000,8,2.145000
bessel,q12,CASCADE,1000,8,2.851000
bessel,q24,CASCADE,2000,8,2.142000
bessel,q12,CASCADE,2000,8,2.828000
bessel,q24,CASCADE,5000,8,2.142000
bessel,q12,CASCADE,5000,8,2.870000
