filter_type,order,cutoff,structure,signal,dtype,MAE
cheby1,2,2000,DF1,impulse,float32,2.8083316796491805e-10
cheby1,2,2000,DF1,impulse,float16,1.3100638096481958e-06
cheby1,2,2000,DF2,impulse,float32,2.808331677016156e-10
cheby1,2,2000,DF2,impulse,float16,1.3100638096486236e-06
cheby1,2,2000,TDF2,impulse,float32,2.8083316796491805e-10
cheby1,2,2000,TDF2,impulse,float16,1.3100638096481958e-06
cheby1,2,2000,CASCADE,impulse,float32,2.7994821736437787e-10
cheby1,2,2000,CASCADE,impulse,float16,1.2961248285915225e-06
cheby1,2,2000,DF1,random,float32,8.112857822848568e-08
cheby1,2,2000,DF1,random,float16,0.00039659806437113767
cheby1,2,2000,DF2,random,float32,8.244170256552913e-08
cheby1,2,2000,DF2,random,float16,0.00039292795234057625
cheby1,2,2000,TDF2,random,float32,8.337654048763037e-08
cheby1,2,2000,TDF2,random,float16,0.0004063036772295392
cheby1,2,2000,CASCADE,random,float32,8.25254150014533e-08
cheby1,2,2000,CASCADE,random,float16,0.0003967539757546342
cheby1,2,5000,DF1,impulse,float32,7.355962029601394e-11
cheby1,2,5000,DF1,impulse,float16,7.720636965368337e-08
cheby1,2,5000,DF2,impulse,float32,7.355962025470654e-11
cheby1,2,5000,DF2,impulse,float16,7.720636965371043e-08
cheby1,2,5000,TDF2,impulse,float32,7.355962029601394e-11
cheby1,2,5000,TDF2,impulse,float16,7.720636965368337e-08
cheby1,2,5000,CASCADE,impulse,float32,7.812709534848827e-11
cheby1,2,5000,CASCADE,impulse,float16,9.36790615087826e-08
cheby1,2,5000,DF1,random,float32,3.829768552482404e-08
cheby1,2,5000,DF1,random,float16,6.783873691596577e-05
cheby1,2,5000,DF2,random,float32,3.6790482916271295e-08
cheby1,2,5000,DF2,random,float16,5.1624665909571644e-05
cheby1,2,5000,TDF2,random,float32,3.839591925307653e-08
cheby1,2,5000,TDF2,random,float16,6.734318810788289e-05
cheby1,2,5000,CASCADE,random,float32,3.730602370429978e-08
cheby1,2,5000,CASCADE,random,float16,6.47095447789888e-05
cheby1,4,1000,DF1,impulse,float32,5.843898517488919e-07
cheby1,4,1000,DF1,impulse,float16,5.9161340237576665
cheby1,4,1000,DF2,impulse,float32,5.843898526663297e-07
cheby1,4,1000,DF2,impulse,float16,5.916134024916547
cheby1,4,1000,TDF2,impulse,float32,5.843898529584429e-07
cheby1,4,1000,TDF2,impulse,float16,5.916134020834416
cheby1,4,1000,CASCADE,impulse,float32,3.026618878136015e-09
cheby1,4,1000,CASCADE,impulse,float16,3.497333310308628e-05
cheby1,4,1000,DF1,random,float32,2.2965704134715126e-05
cheby1,4,1000,DF1,random,float16,0.167355148471937
cheby1,4,1000,DF2,random,float32,1.6600522229729892e-05
cheby1,4,1000,DF2,random,float16,0.0964797950958688
cheby1,4,1000,TDF2,random,float32,1.6600723262138962e-05
cheby1,4,1000,TDF2,random,float16,0.09656445577158115
cheby1,4,1000,CASCADE,random,float32,1.693977765656703e-07
cheby1,4,1000,CASCADE,random,float16,0.0013339885994282253
cheby1,4,2000,DF1,impulse,float32,1.1507218369113458e-07
cheby1,4,2000,DF1,impulse,float16,0.00129817343354239
cheby1,4,2000,DF2,impulse,float32,1.1507218366960402e-07
cheby1,4,2000,DF2,impulse,float16,0.0012981734335421693
cheby1,4,2000,TDF2,impulse,float32,1.1507218368471769e-07
cheby1,4,2000,TDF2,impulse,float16,0.0012981734335424215
cheby1,4,2000,CASCADE,impulse,float32,7.441677368753712e-10
cheby1,4,2000,CASCADE,impulse,float16,2.4894707843401536e-06
cheby1,4,2000,DF1,random,float32,1.7385029238604553e-05
cheby1,4,2000,DF1,random,float16,0.08611150423224269
cheby1,4,2000,DF2,random,float32,1.800979032278314e-05
cheby1,4,2000,DF2,random,float16,0.09763440930498515
cheby1,4,2000,TDF2,random,float32,1.8010095510738775e-05
cheby1,4,2000,TDF2,random,float16,0.09763970558854203
cheby1,4,2000,CASCADE,random,float32,1.1383677017793738e-07
cheby1,4,2000,CASCADE,random,float16,0.0004559379101579944
cheby1,4,5000,DF1,impulse,float32,1.6893654703918725e-09
cheby1,4,5000,DF1,impulse,float16,1.0284729014989533e-05
cheby1,4,5000,DF2,impulse,float32,1.6893654700666923e-09
cheby1,4,5000,DF2,impulse,float16,1.0284729014991732e-05
cheby1,4,5000,TDF2,impulse,float32,1.689365471480137e-09
cheby1,4,5000,TDF2,impulse,float16,1.0284729014988064e-05
cheby1,4,5000,CASCADE,impulse,float32,1.2838839531801677e-10
cheby1,4,5000,CASCADE,impulse,float16,6.987908545788117e-07
cheby1,4,5000,DF1,random,float32,4.7402767152185736e-07
cheby1,4,5000,DF1,random,float16,0.0028358008253906147
cheby1,4,5000,DF2,random,float32,4.730430459673517e-07
cheby1,4,5000,DF2,random,float16,0.0028413065501231654
cheby1,4,5000,TDF2,random,float32,4.7340764814698e-07
cheby1,4,5000,TDF2,random,float16,0.002846351556685614
cheby1,4,5000,CASCADE,random,float32,3.714668991911928e-08
cheby1,4,5000,CASCADE,random,float16,0.00018998438458953326
cheby1,6,1000,DF1,impulse,float32,3.862504895302422e+32
cheby1,6,1000,DF1,impulse,float16,nan
cheby1,6,1000,DF2,impulse,float32,3.862504885896265e+32
cheby1,6,1000,DF2,impulse,float16,nan
