filter_name,type,structure,cutoff,order,signal,MAE
bessel,float,TDF2,1000,2,impulse,3.13458188e-10
bessel,float,TDF2,1000,2,rand,7.37268313e-08
bessel,float,CASCADE,1000,2,impulse,3.60400460e-10
bessel,float,CASCADE,1000,2,rand,5.42949809e-08
bessel,float,DF1,2000,2,impulse,1.60796812e-10
bessel,float,DF1,2000,2,rand,6.40912457e-08
bessel,float,DF2,2000,2,impulse,2.65917021e-10
bessel,float,DF2,2000,2,rand,1.07947034e-07
bessel,float,TDF2,2000,2,impulse,1.58977823e-10
bessel,float,TDF2,2000,2,rand,8.76796683e-08
bessel,float,CASCADE,2000,2,impulse,2.65917021e-10
bessel,float,CASCADE,2000,2,rand,1.12140123e-07
bessel,float,DF1,5000,2,impulse,1.18027098e-11
bessel,float,DF1,5000,2,rand,2.39452340e-08
bessel,float,DF2,5000,2,impulse,2.20240287e-11
bessel,float,DF2,5000,2,rand,1.65883617e-08
bessel,float,TDF2,5000,2,impulse,1.18027097e-11
bessel,float,TDF2,5000,2,rand,2.56921694e-08
bessel,float,CASCADE,5000,2,impulse,2.20240287e-11
bessel,float,CASCADE,5000,2,rand,2.24000694e-08
bessel,float,DF1,1000,4,impulse,1.39031663e-07
bessel,float,DF1,1000,4,rand,4.19713061e-05
bessel,float,DF2,1000,4,impulse,8.46803639e-08
bessel,float,DF2,1000,4,rand,2.04131205e-05
bessel,float,TDF2,1000,4,impulse,1.40686440e-07
bessel,float,TDF2,1000,4,rand,4.82751912e-05
bessel,float,CASCADE,1000,4,impulse,1.45339060e-07
bessel,float,CASCADE,1000,4,rand,2.22479205e-05
bessel,float,DF1,2000,4,impulse,2.61316111e-09
bessel,float,DF1,2000,4,rand,3.31547549e-06
bessel,float,DF2,2000,4,impulse,8.24748770e-09
bessel,float,DF2,2000,4,rand,3.00416772e-06
bessel,float,TDF2,2000,4,impulse,3.28687172e-09
bessel,float,TDF2,2000,4,rand,2.51335844e-06
bessel,float,CASCADE,2000,4,impulse,5.24771307e-09
bessel,float,CASCADE,2000,4,rand,1.41012400e-06
bessel,float,DF1,5000,4,impulse,2.53984844e-10
bessel,float,DF1,5000,4,rand,1.04446083e-07
bessel,float,DF2,5000,4,impulse,1.05888033e-10
bessel,float,DF2,5000,4,rand,9.71429162e-08
bessel,float,TDF2,5000,4,impulse,1.65889428e-10
bessel,float,TDF2,5000,4,rand,1.11403503e-07
bessel,float,CASCADE,5000,4,impulse,1.03208409e-10
bessel,float,CASCADE,5000,4,rand,9.09161602e-08
bessel,float,DF1,1000,6,impulse,1.67319370e-05
bessel,float,DF1,1000,6,rand,2.47038058e-03
bessel,float,DF2,1000,6,impulse,2.43553609e-05
bessel,float,DF2,1000,6,rand,2.87021149e-03
bessel,float,TDF2,1000,6,impulse,1.33851341e-05
bessel,float,TDF2,1000,6,rand,3.26522506e-03
bessel,float,CASCADE,1000,6,impulse,2.05306095e-05
bessel,float,CASCADE,1000,6,rand,3.97487885e-03
bessel,float,DF1,2000,6,impulse,7.53381059e-07
bessel,float,DF1,2000,6,rand,1.87310879e-04
bessel,float,DF2,2000,6,impulse,1.27585818e-06
bessel,float,DF2,2000,6,rand,3.49527454e-04
bessel,float,TDF2,2000,6,impulse,1.23189762e-06
bessel,float,TDF2,2000,6,rand,2.49293563e-04
bessel,float,CASCADE,2000,6,impulse,1.06378091e-06
bessel,float,CASCADE,2000,6,rand,1.05298099e-04
bessel,float,DF1,5000,6,impulse,2.93458833e-09
